,Product Name,Product Price,Product Favorite,Product Rating,Product Rating Count,Product URL,İşlemci Tipi,Ram (Sistem Belleği),SSD Kapasitesi,İşletim Sistemi,Garanti Tipi,Ekran Kartı,Ekran Boyutu,Kullanım Amacı,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Çekirdek Sayısı,İşlemci Nesli,Dokunmatik Ekran,Bağlantılar,Klavye,Garanti Süresi,HDMI
0,CASPER,44.799 TL,164 kişi,4.5,2.0,https://www.trendyol.com/casper/excalibur-g870-1270-bfb0a-b-intel-core-i7-12700h-16gb-ram-1tb-nvme-ssd-gen4-8gb-rtx4060-w11-p-804769241,Intel Core i7,16 GB,1 TB,Windows,Casper Türkiye Garantili,Nvidia GeForce RTX 4060,"15,6 inç",Oyun,Harici,8 GB,12700H,14,12. Nesil,Yok,Bluetooth,Q Türkçe + Numerik (RGB Aydınlatmalı),2 Yıl,
1,Dell,61.000 TL,629 kişi,4.0,4.0,https://www.trendyol.com/dell/g16-7630-i9-13900hx-32gb-1tb-ssd-8gb-rtx4070-16-0-qhd-freedos-g76302401024u-p-819639022,Intel Core i9,32 GB,1 TB,Linux,Dell Türkiye Garantili,Nvidia GeForce RTX 4070,16 inç,Oyun,Harici,16 GB,13900HX,16,13. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe,2 Yıl,
2,LENOVO,8.499 TL,7408 kişi,4.7,26.0,https://www.trendyol.com/lenovo/ideapad-intel-celeron-n4020-4gb-256gb-ssd-windows-11-home-15-6-82v700a9txa1-p-819581735,Intel Celeron,4 GB,256 GB,Windows,Lenovo Türkiye Garantili,Intel Graphics,"15,6 inç",Ev - Okul,Dahili,Paylaşımlı,N4020,2,10. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe (Aydınlatmasız),2 Yıl,
3,CASPER,23.899 TL,313 kişi,5.0,1.0,https://www.trendyol.com/casper/nirvana-c550-1235-df00r-g-f-intel-core-i5-1235u-32gb-ram-1tb-nvme-ssd-windows-11-pro-p-740918876,Intel Core i5,32 GB,1 TB,Windows,Casper Türkiye Garantili,Intel Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,1235U,10,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmalı),2 Yıl,
4,MONSTER,36.005 TL,6540 kişi,4.5,108.0,https://www.trendyol.com/monster/tulpar-t5-v23-3-2-intel-core-i5-12450h-32-gb-ram-1-tb-ssd-8-gb-rtx-4060-freedos-15-6-fhd-144-hz-p-762942774,Intel Core i5,32 GB,1 TB,Free Dos,Monster Türkiye Garantili,Nvidia GeForce RTX 4060,"15,6 inç",Oyun,Harici,8 GB,12450H,8,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmalı),2 Yıl,
5,ASUS,9.699 TL,2325 kişi,4.4,8.0,https://www.trendyol.com/asus/x515ea-bq868-15-6-fhd-i3-1115g4-4-gb-ram-256-gb-ssd-freedos-p-735393903,Intel Core i3,4 GB,256 GB,Free Dos,Asus Türkiye Garantili,Intel Graphics,"15,6 inç",Ev - Okul,Dahili,Paylaşımlı,1115G4,4,11. Nesil,Yok,HDMI,Q Türkçe (Aydınlatmasız),2 Yıl,
6,LENOVO,27.999 TL,429 kişi,5.0,1.0,https://www.trendyol.com/lenovo/loq-83gs007wtr16-intel-core-i5-12450hx-16gb-512gb-ssd-rtx-4050-freedos-15-6-fhd-bilgisayar-p-836136663,Intel Core i5,16 GB,512 GB,Free Dos,Resmi Distribütör Garantili,Nvidia GeForce RTX 4050,"15,6 inç",Oyun,Harici,6 GB,12450H,8,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe,2 Yıl,
7,HP,13.999 TL,411 kişi,4.0,2.0,https://www.trendyol.com/hp/15s-fq4015nt-54u49ea-i5-1155g7-8gb-512ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-764668783,Intel Core i5,8 GB,512 GB,Free Dos,Resmi Distribütör Garantili,Intel Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,1155G7,4,11. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmasız),2 Yıl,
8,LENOVO,6.289 TL,17.7B kişi,4.2,152.0,https://www.trendyol.com/lenovo/ip-celeron-islemci-4-gb-ram-128-gb-ssd-15-6-win-laptop-gri-82v700a9tx-p-759819201,Intel Celeron,4 GB,128 GB,Windows,Resmi Distribütör Garantili,Intel Graphics,"15,6 inç",Ev - Okul,Dahili,Paylaşımlı,N4020,2,10. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe (Aydınlatmasız),2 Yıl,
9,MONSTER,20.999 TL,2371 kişi,5.0,9.0,https://www.trendyol.com/monster/abra-a5-v21-3-intel-core-i7-12700h-16-gb-ram-500-gb-ssd-4-gb-rtx-2050-freedos-15-6-fhd-144-hz-p-819758215,Intel Core i7,16 GB,500 GB,Free Dos,Monster Türkiye Garantili,Nvidia GeForce RTX 2050,"15,6 inç",Oyun,Harici,4 GB ve altı,12700H,14,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (RGB Aydınlatmalı),2 Yıl,
10,CASPER,"27.433,47 TL",4510 kişi,4.5,42.0,https://www.trendyol.com/casper/excalibur-g870-1245-bva0x-b-i5-12450h-16gb-ram-500gb-nvme-ssd-gen4-6gb-rtx4050-dos-gaming-laptop-p-672154325,Intel Core i5,16 GB,500 GB,Free Dos,Casper Türkiye Garantili,Nvidia GeForce RTX 4050,"15,6 inç",Oyun,Harici,6 GB,12450H,8,12. Nesil,Yok,Bluetooth,Q Türkçe + Numerik (RGB Aydınlatmalı),2 Yıl,
11,Apple,35.100 TL,858 kişi,5.0,6.0,https://www.trendyol.com/apple/macbook-air-m1-cip-16gb-256gb-ssd-macos-13-tasinabilir-bilgisayar-uzay-grisi-z1240009k-p-755954200,Apple M1,16 GB,256 GB,Mac Os,Resmi Distribütör Garantili,Dahili Ekran Kartı,13 inç,Ofis - İş,Dahili,Paylaşımlı,Belirtilmemiş,1,1. Nesil,Yok,USB,Q Türkçe (Aydınlatmasız),2 Yıl,
12,ACER,11.999 TL,3471 kişi,4.1,39.0,https://www.trendyol.com/acer/aspire-5-intel-core-i5-12450h-8gb-512gb-ssd-dos-15-6-fhd-koyu-gri-dizustu-bilgisayar-nx-kn3ey-002-p-784172191,Intel Core i5,8 GB,512 GB,Free Dos,ACER Türkiye Garantili,Intel Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,12450H,8,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe (Aydınlatmasız),2 Yıl,
13,ASUS,19.000 TL,,1.0,1.0,https://www.trendyol.com/asus/vivobook-15-m1502qa-ej14102-ryzen-5-5600h-24gb-512gb-ssd-15-6-fhd-freedos-p-800175849,AMD Ryzen 5,24 GB,512 GB,Free Dos,Resmi Distribütör Garantili,AMD Graphics,"15,6 inç",Ev - Okul,Dahili,Paylaşımlı,5600H,6,Ryzen 5000 Serisi,Yok,HDMI,Q Türkçe (Aydınlatmasız),2 Yıl,
14,LENOVO,8.699 TL,19.9B kişi,4.5,267.0,https://www.trendyol.com/lenovo/v15-ryzen-3-7320u-8gb-256-ssd-15-6-freedos-tasinabilir-bilgisayar-82yu00p0tx-p-742227880,AMD Ryzen 3,8 GB,256 GB,Free Dos,Resmi Distribütör Garantili,AMD Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,7320U,4,Ryzen 7000 Serisi,Yok,Bluetooth,Q Türkçe (Aydınlatmasız),2 Yıl,
15,MONSTER,34.216 TL,1405 kişi,4.5,11.0,https://www.trendyol.com/monster/abra-a7-v15-2-2-intel-core-i7-12700h-32-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-17-3-fhd-144-hz-p-824631132,Intel Core i7,32 GB,1 TB,Free Dos,Monster Türkiye Garantili,Nvidia GeForce RTX 4050,"17,3 inç",Oyun,Harici,6 GB,12700H,14,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (RGB Aydınlatmalı),2 Yıl,
16,HP,13.099 TL,11.8B kişi,4.5,216.0,https://www.trendyol.com/hp/250-g8-core-i5-1135g7-islemci-8gb-ram-256gb-ssd-15-6-fhd-freedos-laptop-komur-grisi-853u8es-p-773440890,Intel Core i5,8 GB,256 GB,Free Dos,Resmi Distribütör Garantili,Intel Graphics,"15,6 inç",Ev - Okul,Dahili,Paylaşımlı,1135G7,4,11. Nesil,Yok,Bluetooth,Q Türkçe (Aydınlatmasız),2 Yıl,
17,CASPER,"20.530,01 TL",30.8B kişi,4.4,498.0,https://www.trendyol.com/casper/excalibur-g770-1245-bvj0x-b-i5-12450h-16gb-ram-500gb-nvme-ssd-gen4-4gb-rtx3050-dos-gaming-laptop-p-311975657,Intel Core i5,16 GB,500 GB,Free Dos,Casper Türkiye Garantili,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,Harici,4 GB ve altı,12450H,8,12. Nesil,Yok,HDMI,Q Türkçe,2 Yıl,
18,MONSTER,20.799 TL,5485 kişi,4.8,77.0,https://www.trendyol.com/monster/huma-h4-v5-1-7-intel-core-i5-1235u-16gb-ram-500gb-ssd-freedos-14-1-fhd-rose-gold-p-635097694,Intel Core i5,16 GB,500 GB,Free Dos,Monster Türkiye Garantili,Intel Graphics,"14,1 inç",Ofis - İş,Dahili,Paylaşımlı,1235U,10,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe (Aydınlatmalı),2 Yıl,
19,MSI,39.249 TL,250 kişi,3.3,3.0,https://www.trendyol.com/msi/katana-17-b13vek-1036xtr-i7-13620h-16gb-ddr5-1tb-6gb-rtx4050-gddr6-17-3-144hz-freedos-full-hd-n-p-808462216,Intel Core i7,16 GB,1 TB,Free Dos,MSI Türkiye Garantili,Nvidia GeForce RTX 4050,"17,3 inç",Oyun,Harici,6 GB,13620H,10,13. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe (Aydınlatmalı),2 Yıl,
20,CASPER,10.999 TL,1266 kişi,3.8,4.0,https://www.trendyol.com/casper/nirvana-x600-1215-8u00x-g-f-intel-core-i3-1215u-8gb-ram-250gb-nvme-ssd-gen4-freedos-p-806558670,Intel Core i3,8 GB,250 GB,Free Dos,Casper Türkiye Garantili,Intel Graphics,"15,6 inç",Ev - Okul,Dahili,Paylaşımlı,1215U,6,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe,2 Yıl,
21,Dell,61.299 TL,152 kişi,5.0,3.0,https://www.trendyol.com/dell/g16-7630-i9-13900hx-16-32gb-1tb-8gb-rtx-4070-fdos-qhd-g76302401024u-p-758851189,Intel Core i9,32 GB,1 TB,Free Dos,Resmi Distribütör Garantili,Nvidia GeForce RTX 4070,"15,6 inç",Tasarım,Harici,8 GB,13900H,24,13. Nesil,Yok,Bluetooth - HDMI,Q Türkçe (Aydınlatmasız),2 Yıl,
22,ACER,14.869 TL,289 kişi,4.1,9.0,https://www.trendyol.com/acer/aspire-3-a315-59g-522b-intel-i5-1235u-8gb-ram-512gb-ssd-2gb-geforce-mx550-15-6-fhd-w11-notebo-p-772492863,Intel Core i5,8 GB,512 GB,Windows,ACER Türkiye Garantili,Nvidia GeForce MX550,"15,6 inç",Ofis - İş,Harici,Paylaşımlı,1235U,4,12. Nesil,Yok,Bluetooth,Q Türkçe (Aydınlatmasız),2 Yıl,
23,ASUS,17.999 TL,1063 kişi,4.7,10.0,https://www.trendyol.com/asus/fhd-intel-core-i5-1235u-islemci-intel-iris-xe-graphics-24gb-ram-1tb-ssd-windows-11-x1502za-p-778412657,Intel Core i5,24 GB,1 TB,Windows,Asus Türkiye Garantili,Intel Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,1235U,10,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmasız),2 Yıl,
24,LENOVO,27.699 TL,525 kişi,4.6,29.0,https://www.trendyol.com/lenovo/loq-82xv00g6tx-i5-13420h-16gb-512ssd-rtx4050-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-770291700,Intel Core i5,16 GB,512 GB,Free Dos,Resmi Distribütör Garantili,Nvidia GeForce RTX 4050,"15,6 inç",Oyun,Harici,6 GB,13420H,8,13. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmalı),2 Yıl,
25,Huawei,15.287 TL,36.8B kişi,4.7,423.0,https://www.trendyol.com/huawei/matebook-d15-i5-1155g7-islemci-8gb-ram-256gb-ssd-15-6-inc-win-11-laptop-mistik-gumus-p-654278277,Intel Core i5,8 GB,256 GB,Windows,Resmi Distribütör Garantili,Intel Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,1155G7,4,11. Nesil,Yok,USB,Q Türkçe,2 Yıl,
26,ACER,6.999 TL,33.4B kişi,4.2,470.0,https://www.trendyol.com/acer/aspire3-intel-celeron-n4500-4gb-128gb-ssd-dos-15-6-gumus-dizustu-bilgisayar-acer-turkiye-garantili-p-656066934,Intel Celeron,4 GB,128 GB,Linux,ACER Türkiye Garantili,Intel Graphics,"15,6 inç",Ev - Okul,Dahili,Paylaşımlı,N4200,2,4. Nesil,Yok,HDMI,Q Türkçe,2 Yıl,
27,MONSTER,19.395 TL,15.7B kişi,4.7,153.0,https://www.trendyol.com/monster/huma-h4-v5-1-4-notebook-rose-gold-14-1-p-456347007,Intel Core i5,8 GB,500 GB,Free Dos,Monster Türkiye Garantili,Intel Graphics,"14,1 inç",Ofis - İş,Dahili,Paylaşımlı,1235U,10,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe (Aydınlatmalı),2 Yıl,
28,HP,36.499 TL,531 kişi,4.4,10.0,https://www.trendyol.com/hp/victus-16-s0051nt-892p9ea-6gb-rtx4050-ryzen-7-7840hs-32gb-ram-1tb-ssd-16-1-inc-fhd-144hz-p-742789057,AMD Ryzen 7,32 GB,1 TB,Free Dos,HP Türkiye Garantili,Nvidia GeForce RTX 4050,"16,1 inç",Oyun,Harici,6 GB,7840HS,8,Ryzen 7000 Serisi,Yok,Bluetooth - HDMI,Q Türkçe (Aydınlatmalı),2 Yıl,
29,ASUS,28.499 TL,2297 kişi,4.9,53.0,https://www.trendyol.com/asus/tuf-gaming-a15-fa507nu-lp053-amd-r7-7735hs-8gb-512gb-ssd-rtx4050-144-hz-dos-15-6-fhd-p-654338236,AMD Ryzen 7,8 GB,512 GB,Free Dos,Asus Türkiye Garantili,Nvidia GeForce RTX 4050,"15,6 inç",Oyun,Harici,6 GB,7735HS,8,Ryzen 7000 Serisi,Yok,USB,Q Türkçe (Aydınlatmalı),2 Yıl,
30,ASUS,14.359 TL,1552 kişi,4.6,32.0,https://www.trendyol.com/asus/x1502za-ej490w-intel-i5-1235u-8gb-512gb-ssd-intel-iris-xe-graphics-15-6-fhd-w11-mavi-notebook-p-753701700,Intel Core i5,8 GB,512 GB,Windows,Asus Türkiye Garantili,Intel Graphics,"15,6 inç",Ev - Okul,Dahili,Paylaşımlı,1235U,10,12. Nesil,Yok,Bluetooth,Q Türkçe (Aydınlatmasız),2 Yıl,
31,MONSTER,29.089 TL,11.8B kişi,4.7,201.0,https://www.trendyol.com/monster/abra-a5-v20-4-2-intel-core-i5-12450h-32-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-15-6-fhd-144-hz-p-760273243,Intel Core i5,32 GB,1 TB,Free Dos,Monster Türkiye Garantili,Nvidia GeForce RTX 4050,"15,6 inç",Oyun,Harici,6 GB,12450H,8,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmalı),2 Yıl,
32,CASPER,13.889 TL,2344 kişi,4.0,25.0,https://www.trendyol.com/casper/nirvana-x600-1155-8v00x-g-f-intel-core-i5-1155g7-8-gb-ram-500gb-nvme-ssd-gen4-freedos-p-761308480,Intel Core i5,8 GB,500 GB,Free Dos,Casper Türkiye Garantili,Intel Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,1155G7,4,11. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe (Aydınlatmasız),2 Yıl,
33,CASPER,13.499 TL,667 kişi,4.1,11.0,https://www.trendyol.com/casper/nirvana-x600-1215-bf00x-g-f-intel-core-i3-1215u-16gb-ram-1tb-nvme-ssd-freedos-p-797713398,Intel Core i3,16 GB,1 TB,Free Dos,Casper Türkiye Garantili,Intel Graphics,"15,6 inç",Ev - Okul,Dahili,Paylaşımlı,1215U,6,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe,2 Yıl,
34,MSI,26.250 TL,1297 kişi,4.7,17.0,https://www.trendyol.com/msi/thin-gf63-12-nesil-core-i5-12450h-rtx3050-4gb-16gb-512gb-ssd-15-6inc-w11-p-779234703,Intel Core i5,16 GB,512 GB,Windows,Resmi Distribütör Garantili,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,Harici,4 GB ve altı,12450H,8,12. Nesil,Yok,USB,Q Türkçe,2 Yıl,
35,HP,27.399 TL,1987 kişi,4.5,28.0,https://www.trendyol.com/hp/victus-15-fa1035nt-7n9v4ea-i5-13500h-16gb-512gb-rtx4050-6gb-15-6-144hz-fhd-freedos-gaming-laptop-p-696878957,Intel Core i5,16 GB,512 GB,Free Dos,HP Türkiye Garantili,Nvidia GeForce RTX 4050,"15,6 inç",Oyun,Harici,Paylaşımlı,13500H,12+,13. Nesil,Yok,HDMI,Q Türkçe (Aydınlatmasız),2 Yıl,
36,Apple,25.999 TL,133B kişi,4.8,2035.0,https://www.trendyol.com/apple/macbook-air-m1-cip-8gb-256gb-ssd-macos-13-qhd-tasinabilir-bilgisayar-uzay-grisi-p-68042136,Apple M1,8 GB,256 GB,Mac Os,Apple Türkiye Garantili,Dahili Ekran Kartı,"13,3 inç",Ev - Okul,Dahili,Paylaşımlı,Belirtilmemiş,8,1. Nesil,Yok,Bluetooth,Q Türkçe (Aydınlatmalı),2 Yıl,
37,ACER,53.499 TL,1012 kişi,4.6,12.0,https://www.trendyol.com/acer/predator-intel-core-i7-13700hx-32gb-1tb-ssd-rtx4070-8gb-16-165hz-gaming-laptop-nh-qlvey-004-p-818366213,Intel Core i7,32 GB,1 TB,Free Dos,ACER Türkiye Garantili,Nvidia GeForce RTX 4070,16 inç,Oyun,Harici,8 GB,13700HX,16,13. Nesil,Yok,HDMI - USB,Q Türkçe,2 Yıl,
38,ASUS,8.595 TL,573 kişi,3.9,8.0,https://www.trendyol.com/asus/vivobook-go-15-e1504fa-nj097-amd-r3-7320u-8gb-256-gb-ssd-dos-15-6-fhd-tasinabilir-bilgisayar-p-772429857,AMD Ryzen 3,8 GB,256 GB,Free Dos,Asus Türkiye Garantili,AMD Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,7320U,4,Ryzen 7000 Serisi,Yok,Bluetooth - HDMI,Q Türkçe (Aydınlatmasız),2 Yıl,
39,ACER,13.699 TL,867 kişi,4.6,13.0,https://www.trendyol.com/acer/aspire-3-a315-44p-ryzen-7-5700u-16-gb-512-gb-ssd-freedos-15-6-fhd-60-hz-tasinabilir-bilgisayar-p-809411565,AMD Ryzen 7,16 GB,512 GB,Free Dos,ACER Türkiye Garantili,AMD Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,5700U,8,Ryzen 5000 Serisi,Yok,USB - Bluetooth - HDMI,Q Türkçe,2 Yıl,
40,ASUS,32.799 TL,238 kişi,5.0,1.0,https://www.trendyol.com/asus/tuf-gaming-f15-fx507vu-lp261-intel-i7-13620h-16gb-512gb-ssd-rtx4050-140watt-144hz-dos-15-6-fhd-p-807534599,Intel Core i7,16 GB,512 GB,Free Dos,Resmi Distribütör Garantili,Nvidia GeForce RTX 4050,"15,6 inç",Oyun,Harici,6 GB,13620H,10,13. Nesil,Yok,Bluetooth,Q Türkçe + Numerik (RGB Aydınlatmalı),2 Yıl,
41,MSI,28.707 TL,2680 kişi,4.5,16.0,https://www.trendyol.com/msi/thin-gf63-12uc-666xtr-intel-core-i7-12650h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-144hz-p-760924099,Intel Core i7,16 GB,512 GB,Free Dos,MSI Türkiye Garantili,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,Harici,4 GB ve altı,12650H,10,12. Nesil,Yok,HDMI - USB,Q Türkçe (Aydınlatmalı),2 Yıl,
42,MSI,13.499 TL,1387 kişi,4.7,16.0,https://www.trendyol.com/msi/modern-15-b7m-078xtr-r5-7530u-8gb-ddr4-uma-512gb-ssd-15-6-fhd-dos-siyah-p-686427175,AMD Ryzen 5,8 GB,512 GB,Free Dos,MSI Türkiye Garantili,AMD Graphics,"15,6 inç",Ev - Okul,Dahili,Paylaşımlı,7520U,6,7. Nesil,Yok,Bluetooth - USB,Q Türkçe,2 Yıl,
43,CASPER,32.999 TL,8544 kişi,4.4,167.0,https://www.trendyol.com/casper/excalibur-g870-1265-dfa0x-b-intel-core-i7-12650h-32gb-ram-1tb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672157475,Intel Core i7,32 GB,1 TB,Free Dos,Casper Türkiye Garantili,Nvidia GeForce RTX 4050,"15,6 inç",Oyun,Harici,6 GB,12700H,14,12. Nesil,Yok,Bluetooth,Q Türkçe + Numerik (RGB Aydınlatmalı),2 Yıl,
44,ASUS,47.739 TL,1149 kişi,4.4,29.0,https://www.trendyol.com/asus/rog-strix-g16-g614jv-n3158-intel-i7-13650hx-16gb-ddr5-512gb-pcie-ssd-8gb-rtx4060-16-165hz-dos-p-661603519,Intel Core i7,16 GB,512 GB,Free Dos,Asus Türkiye Garantili,Nvidia GeForce RTX 4060,16 inç,Oyun,Harici,8 GB,13650HX,6,13. Nesil,Yok,HDMI,Q Türkçe,2 Yıl,
45,Dell,15.999 TL,824 kişi,4.1,13.0,https://www.trendyol.com/dell/inspiron-3520-intel-core-i5-1235u-16gb-512gb-ssd-15-6-fhd-linux-siyah-dizustu-bilgisayar-p-773499308,Intel Core i5,16 GB,512 GB,Linux,Dell Türkiye Garantili,Intel Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,1235U,10,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmasız),2 Yıl,
46,LENOVO,26.999 TL,1629 kişi,4.1,22.0,https://www.trendyol.com/lenovo/loq-intel-core-i5-12450h-16gb-512gb-ssd-rtx4050-6gb-dos-15-6-144hz-gaming-laptop-82xv00fytx-p-773962717,Intel Core i5,16 GB,512 GB,Free Dos,Lenovo Türkiye Garantili,Nvidia GeForce RTX 4050,"15,6 inç",Oyun,Harici,6 GB,12450H,8,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmalı),2 Yıl,
47,ACER,10.593 TL,10.5B kişi,4.5,237.0,https://www.trendyol.com/acer/aspire3-intel-core-i5-1135g7-8gb-256gb-ssd-15-6-fhd-dos-dizustu-bilgisayar-acer-turkiye-garantili-p-320269481,Intel Core i5,8 GB,256 GB,Free Dos,ACER Türkiye Garantili,Intel Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,1135G7,4,11. Nesil,Yok,Bluetooth,Q Türkçe,2 Yıl,
48,ASUS,21.999 TL,282 kişi,3.3,3.0,https://www.trendyol.com/asus/tuf-gaming-f15-fx507zc4-hn158-intel-core-i5-12500h-8-gb-512-gb-ssd-rtx-3050-144-hz-freedos-15-6-p-756834070,Intel Core i5,8 GB,512 GB,Free Dos,Asus Türkiye Garantili,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,Harici,4 GB ve altı,12500H,12+,12. Nesil,Yok,USB,Q Türkçe + Numerik (Aydınlatmalı),2 Yıl,
49,Huawei,18.649 TL,305 kişi,4.7,3.0,https://www.trendyol.com/huawei/matebook-d14-2024-intel-core-i5-12450h-8gb-512gb-ssd-windows-11-home-14-ips-p-816046812,Intel Core i5,8 GB,512 GB,Windows,Huawei Türkiye Garantili,Intel Graphics,14 inç,Ev - Okul,Dahili,Paylaşımlı,12450H,8,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe,2 Yıl,
50,ACER,20.797 TL,6643 kişi,4.8,94.0,https://www.trendyol.com/acer/nitro5-intel-core-i5-12450h-8gb-512gb-ssd-rtx3050-win11-15-6-fhd-144hz-gaming-laptop-nh-qfjey-008-p-773939031,Intel Core i5,8 GB,512 GB,Windows,ACER Türkiye Garantili,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,Harici,4 GB ve altı,12450H,8,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmalı),2 Yıl,
51,ASUS,8.999 TL,701 kişi,4.4,10.0,https://www.trendyol.com/asus/vivobook-f1502za-ej1531-full-hd-intel-i3-1215u-8-gb-ram-256-gb-ssd-freedos-dizustu-bilgisayar-p-788083214,Intel Core i3,8 GB,256 GB,Free Dos,Asus Türkiye Garantili,Dahili Ekran Kartı,"15,6 inç",Ev - Okul,Harici,Paylaşımlı,1215U,6,12. Nesil,Var,HDMI - USB,Q Türkçe + Numerik (RGB Aydınlatmalı),2 Yıl,
52,HP,25.499 TL,2522 kişi,4.5,15.0,https://www.trendyol.com/hp/victus-gaming-15-fa0011nt-80d33ea-i5-12450h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-144hz-p-746623610,Intel Core i5,16 GB,512 GB,Free Dos,HP Türkiye Garantili,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,Harici,4 GB ve altı,12450H,8,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmalı),2 Yıl,
53,MONSTER,21.335 TL,408 kişi,3.0,3.0,https://www.trendyol.com/monster/abra-a5-v21-3-6-intel-core-i7-12700h-8-gb-ram-500-gb-ssd-4-gb-rtx-2050-freedos-15-6-fhd-144-hz-p-820117771,Intel Core i7,8 GB,500 GB,Free Dos,Monster Türkiye Garantili,Nvidia GeForce RTX 2050,"15,6 inç",Oyun,Harici,4 GB ve altı,12700H,14,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe + Numerik (RGB Aydınlatmalı),2 Yıl,
54,MSI,14.399 TL,590 kişi,4.4,8.0,https://www.trendyol.com/msi/modern-15-b12mo-624xtr-intel-core-i5-1235u-8gb-ddr4-512gb-ssd-uma-15-6-fhd-freedos-notebook-p-767805447,Intel Core i5,8 GB,512 GB,Free Dos,MSI Türkiye Garantili,Intel Graphics,"15,6 inç",Ev - Okul,Dahili,Paylaşımlı,1235U,10,12. Nesil,Yok,USB,Q Türkçe (Aydınlatmalı),2 Yıl,
55,CASPER,40.499 TL,,5.0,2.0,https://www.trendyol.com/casper/excalibur-g870-1265-dfb0r-b-i7-12650h-32gb-ram-1tb-nvme-ssd-8gb-rtx4060-w11p-gaming-laptop-p-675465840,Intel Core i7,32 GB,1 TB,Windows,Casper Türkiye Garantili,Nvidia GeForce RTX 4060,"15,6 inç",Oyun,Harici,8 GB,12700H,14,12. Nesil,Yok,Bluetooth,Q Türkçe + Numerik (RGB Aydınlatmalı),2 Yıl,
56,Huawei,16.210 TL,20.4B kişi,4.7,304.0,https://www.trendyol.com/huawei/matebook-d15-i5-1155g7-islemci-8gb-ram-512gb-ssd-15-6-inc-win-11-laptop-mistik-gumus-p-654281247,Intel Core i5,8 GB,512 GB,Windows,Resmi Distribütör Garantili,Intel Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,1155G7,4,11. Nesil,Yok,USB,Q Türkçe,2 Yıl,
