,Product Name,Product Price,Product Favorite,Product Rating,Product Rating Count,Product URL,İşlemci Tipi,Ram (Sistem Belleği),SSD Kapasitesi,İşletim Sistemi,Garanti Tipi,Ekran Kartı,Ekran Boyutu,Kullanım Amacı,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Çekirdek Sayısı,İşlemci Nesli,Dokunmatik Ekran,Bağlantılar,Klavye,Garanti Süresi,HDMI
659,LENOVO,7.890 TL,2583 kişi,4.8,5.0,https://www.trendyol.com/lenovo/n4120-4-128-gb-notebook-p-410803301,Intel Celeron,4 GB,SSD Yok,Free Dos,Lenovo Türkiye Garantili,Intel Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,N4120,4,10. Nesil,Yok,USB,Q Türkçe + Numerik (Aydınlatmasız),2 Yıl,
660,ASUS,10.699 TL,122 kişi,4.4,5.0,https://www.trendyol.com/asus/x515ea-bq2293w-intel-core-i3-1115g4-islemci-4-gb-ram-128-gb-ssd-windows-11-home-15-6-full-hd-p-475761094,Intel Core i3,4 GB,128 GB,Windows,Asus Türkiye Garantili,Intel Graphics,"15,6 inç",Oyun,Dahili,Paylaşımlı,1115G4,Belirtilmemiş,11. Nesil,Yok,Bluetooth - USB,Q Türkçe,2 Yıl,
661,HP,29.499 TL,,5.0,1.0,https://www.trendyol.com/hp/victus-15-fb0017nt-5-nesil-ryzen-5-5600h-rx6500m-16gb-512gb-15-6inc-w11-p-779235581,AMD Ryzen 5,16 GB,512 GB,Windows,Resmi Distribütör Garantili,AMD Radeon RX6500M,"15,6 inç",Oyun,Harici,4 GB ve altı,5600H,6,Ryzen 5000 Serisi,Yok,USB,Q Türkçe,2 Yıl,
662,Dell,90.899 TL,,5.0,1.0,https://www.trendyol.com/dell/gaming-alienware-m18-r1-awm18i7x80wh-i7-13700hx-16gb-512gb-rtx4060-8gb-18inc-w11h-gaming-laptop-p-736006275,Intel Core i7,16 GB,512 GB,Windows,Resmi Distribütör Garantili,Nvidia GeForce RTX 4060,18 inç,Oyun,Harici,8 GB,13700HX,24,13. Nesil,Yok,HDMI,Q İngilizce,2 Yıl,
663,LENOVO,29.500 TL,751 kişi,4.4,7.0,https://www.trendyol.com/lenovo/ideapad-gaming-3-intel-core-i5-10300h-8gb-512gb-ssd-gtx-1650ti-freedos-15-6-fhd-81y400xstx-p-668729600,Intel Core i5,8 GB,512 GB,Free Dos,Lenovo Türkiye Garantili,Nvidia GeForce GTX1650 Ti,"15,6 inç",Oyun,Harici,4 GB ve altı,10300H,4,10. Nesil,Yok,Bluetooth - USB,Q Türkçe,2 Yıl,
664,ACER,12.999 TL,6444 kişi,4.4,159.0,https://www.trendyol.com/acer/aspire3-a315-56-327t-intel-core-i3-1005g1-8gb-256gb-ssd-freedos-15-6-fhd-notebook-nx-hs5ey-006-p-259076889,Intel Core i3,8 GB,256 GB,Free Dos,Resmi Distribütör Garantili,Intel Graphics,"15,6 inç",Ev - Okul,Dahili,Paylaşımlı,1005G1,2,10. Nesil,Yok,Bluetooth - USB,Q Türkçe,2 Yıl,
665,ASUS,27.399 TL,,5.0,1.0,https://www.trendyol.com/asus/tuf-gaming-f15-i5-12500h-16-gb-1-tbssd-4gb-rtx3050-15-6-fhd-144hz-freedos-fx507zc4-hn205ar16-p-803648891,Intel Core i5,16 GB,1 TB,Free Dos,Asus Türkiye Garantili,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,Harici,4 GB ve altı,12500H,12+,12. Nesil,Yok,Bluetooth - HDMI,Q Türkçe,2 Yıl,
666,HP,12.499 TL,418 kişi,4.5,13.0,https://www.trendyol.com/hp/255-g9-6q8n2es-r5-5625u-8gb-512ssd-15-6-fdos-p-354471710,AMD Ryzen 5,8 GB,512 GB,Free Dos,Resmi Distribütör Garantili,AMD Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,5625U,6,5. Nesil,Yok,USB - Bluetooth - HDMI,Q İngilizce,2 Yıl,
667,LENOVO,16.799 TL,478 kişi,5.0,12.0,https://www.trendyol.com/lenovo/v15-g3-i5-1235u-16gb-512gb-ssd-w11pro-15-6-fhd-notebook-82tt00a5tx0343-mouse-p-743771641,Intel Core i5,16 GB,512 GB,Windows,Lenovo Türkiye Garantili,Intel Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,1235U,10,12. Nesil,Yok,HDMI - USB,Q Türkçe (Aydınlatmasız),2 Yıl,
668,ACER,34.500 TL,155 kişi,5.0,1.0,https://www.trendyol.com/acer/nitro5-core-i7-12700h-16-gb-512-gb-ssd-rtx-4060-8-gbfreedos-15-6-fhd-notebook-nh-qm0ey-001-p-719063232,Intel Core i7,16 GB,512 GB,Free Dos,Resmi Distribütör Garantili,Nvidia GeForce RTX 4060,"15,6 inç",Oyun,Harici,8 GB,12700H,14,12. Nesil,Yok,HDMI,Q Türkçe (Aydınlatmalı),2 Yıl,
669,Apple,44.500 TL,1818 kişi,4.5,10.0,https://www.trendyol.com/apple/macbook-pro-13-3-inc-m2-cip-8cpu-10gpu-8gb-256gb-ssd-uzay-grisi-mneh3tu-a-p-327513368,Apple M2,8 GB,256 GB,Mac Os,Apple Türkiye Garantili,M2 8 Çekirdekli,13 inç,Ofis - İş,Dahili,Paylaşımlı,9425,8,2. Nesil,Yok,USB-C,Q Türkçe,2 Yıl,
670,ASUS,114.999 TL,,5.0,1.0,https://www.trendyol.com/asus/rog-strix-g18-g814jzr-n6090-12gb-rtx4080-175w-intel-i9-14900hx-32gb-ram-1tb-ssd-18-qhd-240hz-p-806682031,Intel Core i9,32 GB,1 TB,Free Dos,Asus Türkiye Garantili,Nvidia GeForce RTX 4080,18 inç,Oyun,Harici,12 GB,14900HX,24,14. Nesil,Yok,Bluetooth - HDMI,Q Türkçe (Aydınlatmalı),2 Yıl,
671,ASUS,104.999 TL,107 kişi,3.7,3.0,https://www.trendyol.com/asus/rog-strix-g18-g814jz-n6023-intel-i9-13980hx-32gb-ddr5-1tb-ssd-rtx4080-18-wqxga-240hz-dos-p-678471975,Intel Core i9,32 GB,1 TB,Free Dos,Asus Türkiye Garantili,Nvidia GeForce RTX 4080,18 inç,Oyun,Harici,12 GB,13980HX,24,13. Nesil,Yok,HDMI,Q Türkçe,2 Yıl,
672,LENOVO,9.999 TL,,5.0,1.0,https://www.trendyol.com/lenovo/ideapad-1-82v700a9tx03-n4020-4gb-1tbssd-15-6-hd-w11h-tasinabilir-bilgisayar-cnt004-p-773841071,Intel Celeron,4 GB,1 TB,Windows,Resmi Distribütör Garantili,Intel Graphics,"15,6 inç",Ev - Okul,Dahili,Paylaşımlı,N4020,2,10. Nesil,Yok,HDMI - USB,Q Türkçe (Aydınlatmasız),2 Yıl,
673,LENOVO,8.999 TL,435 kişi,4.3,3.0,https://www.trendyol.com/lenovo/ideapad-1-15amn7-dizustu-bilgisayar-p-784227785,AMD Athlon,8 GB,256 GB,Free Dos,Lenovo Türkiye Garantili,AMD Graphics,"15,6 inç",Ev - Okul,Dahili,Paylaşımlı,Belirtilmemiş,4,Belirtilmemiş,Yok,USB - Bluetooth - HDMI,Q Türkçe,2 Yıl,
674,MSI,51.583 TL,124 kişi,5.0,4.0,https://www.trendyol.com/msi/katana-a17-ai-b8vf-855xtr-r7-8845hs-16gb-ddr5-rtx4060-gddr6-8gb-1tb-ssd-17-3-fhd-144hz-dos-p-806304276,AMD Ryzen 7,8 GB,SSD Yok,Free Dos,Resmi Distribütör Garantili,Nvidia GeForce RTX 4060,"17,3 inç",Oyun,Harici,8 GB,Belirtilmemiş,8,8. Nesil,Yok,HDMI,Q Türkçe (Aydınlatmalı),2 Yıl,
675,LENOVO,"97.118,01 TL",,5.0,1.0,https://www.trendyol.com/lenovo/thinkpad-p16v-21fc0019tx08-i9-13900h-64gb-1tbssd-1tbssd-rtx2000-16-fullhd-w11p-tasinabilir-p-788972686,Intel Core i9,64 GB,2 TB,Windows,Resmi Distribütör Garantili,Nvidia GeForce RTX A2000,16 inç,Ofis - İş,Harici,8 GB,13900H,14,13. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe (Aydınlatmalı),2 Yıl,
676,LENOVO,14.900 TL,648 kişi,5.0,2.0,https://www.trendyol.com/lenovo/v15-g4-amn-82yu00p0tx-ryzen-3-7320u-8-gb-256-gb-ssd-radeon-610m-15-6-full-hd-notebook-p-771938865,AMD A4,8 GB,500 GB,Free Dos,Resmi Distribütör Garantili,AMD Graphics,14 inç,Ev - Okul,Dahili,Paylaşımlı,1265U,1,2. Nesil,Yok,Bluetooth,Q Türkçe (Aydınlatmasız),2 Yıl,
677,LENOVO,"14.863,60 TL",,5.0,1.0,https://www.trendyol.com/lenovo/v15-g4-intel-core-i5-12500h-16gb-256gb-ssd-freedos-15-6-fhd-83fs001xtra148-p-812246807,Intel Core i5,16 GB,256 GB,Free Dos,Lenovo Türkiye Garantili,Intel Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,12500H,12+,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe,2 Yıl,
678,ACER,25.599 TL,,5.0,1.0,https://www.trendyol.com/acer/an515-57-nh-qeley-00a-03-i7-11600h-32gb-512gb-ssd-rtx3050-4gb-15-6-linux-p-790280577,Intel Core i7,32 GB,512 GB,Linux,ACER Türkiye Garantili,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,Harici,4 GB ve altı,11600K,8,11. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe (RGB Aydınlatmalı),2 Yıl,
679,ACER,10.150 TL,1092 kişi,5.0,3.0,https://www.trendyol.com/acer/aspire-a315-58-34bu-intel-i3-1115g4-islemci-4gb-ram-256gb-ssd-uma-15-6-fhd-ekran-w11-home-isle-p-753723873,Intel Core i3,4 GB,256 GB,Windows,ACER Türkiye Garantili,Intel Graphics,"15,6 inç",Ev - Okul,Dahili,Paylaşımlı,1115G4,2,11. Nesil,Yok,Bluetooth,Q Türkçe (Aydınlatmasız),2 Yıl,
680,LENOVO,13.999 TL,3648 kişi,4.2,34.0,https://www.trendyol.com/lenovo/ideapad-3-81w100s3tx-amd-laptop-4gb-ram-3020e-15-6-128gb-ssd-p-65660471,,,128 GB,,Resmi DistribÃ¼tÃ¶r Garantili,,"15,6 inÃ§",,,,,,,Yok,,Q TÃ¼rkÃ§e,,
681,Apple,75.839 TL,285 kişi,4.6,10.0,https://www.trendyol.com/apple/macbook-pro-14-m2-pro-16gb-1tb-ssd-silver-laptop-apple-turkiye-garantili-mphj3tu-a-p-637235157,Apple M2,16 GB,1 TB,Mac Os,Apple Türkiye Garantili,Dahili Ekran Kartı,14 inç,Ofis - İş,Dahili,Paylaşımlı,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Yok,,Q Türkçe,2 Yıl,
682,LENOVO,16.999 TL,848 kişi,4.7,28.0,https://www.trendyol.com/lenovo/ip3-15itl6-i5-8-512gb-82h801gjtx-82h801gjtx-p-268377728,Intel Core i5,8 GB,512 GB,Windows,Lenovo Türkiye Garantili,Intel Graphics,15 inç,Ofis - İş,Dahili,Paylaşımlı,1135G7,4,11. Nesil,Yok,Bluetooth,Q Türkçe,2 Yıl,
683,MONSTER,"44.799,99 TL",1132 kişi,4.6,13.0,https://www.trendyol.com/monster/tulpar-t5-v23-2-4-intel-core-i7-12650h-16-gb-ram-1-tb-ssd-8-gb-rtx-4060-freedos-15-6-fhd-144-hz-p-745868598,,,1 TB,,Monster TÃ¼rkiye Garantili,,"15,6 inÃ§",,,,,,,Yok,,Q TÃ¼rkÃ§e + Numerik (RGB AydÄ±nlatmalÄ±),,
684,ASUS,28.599 TL,,1.0,1.0,https://www.trendyol.com/asus/tuf-f15-fx507zc4-hn210w-core-i5-12500h-8gb-512gb-ssd-15-6-rtx3050-win-11-laptop-gri-p-814743251,Intel Core i5,8 GB,512 GB,Windows,Resmi Distribütör Garantili,Nvidia GeForce RTX 3050,"15,6 inç",Ofis - İş,Harici,4 GB ve altı,12500H,8,12. Nesil,Yok,Wi-Fi,Q İngilizce,2 Yıl,
685,LENOVO,14.999 TL,,5.0,1.0,https://www.trendyol.com/lenovo/ideapad-1-15alc7-amd-ryzen-5-5500u-16-gb-1-tbssd-windows-11-home-15-6-82r400kutxar39-p-823597705,AMD Ryzen 5,16 GB,1 TB,Windows,Resmi Distribütör Garantili,AMD Graphics,"15,6 inç",Ofis - İş,Dahili,Paylaşımlı,5500U,6,Ryzen 5000 Serisi,Yok,Bluetooth - HDMI,Q Türkçe (Aydınlatmasız),2 Yıl,
686,HP,18.999 TL,109 kişi,4.5,2.0,https://www.trendyol.com/hp/core-i5-1335u-8gb-ram-256gb-ssd-15-6-win-11-laptop-komur-grisi-88t60ea-p-782031322,Intel Core i5,8 GB,256 GB,Windows,Resmi Distribütör Garantili,Intel Graphics,"15,6 inç",Ev - Okul,Dahili,Paylaşımlı,1335U,12+,13. Nesil,Yok,Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmasız),2 Yıl,
687,CASPER,36.599 TL,1008 kişi,4.3,25.0,https://www.trendyol.com/casper/excalibur-g870-1245-dvb0x-b-i5-12450h-32gb-ram-500gb-nvme-ssd-gen4-8gb-rtx4060-dos-gaming-laptop-p-672167679,Intel Core i5,32 GB,500 GB,Free Dos,Casper Türkiye Garantili,Nvidia GeForce RTX 4060,"15,6 inç",Oyun,Harici,8 GB,12450H,8,12. Nesil,Yok,Bluetooth,Q Türkçe + Numerik (RGB Aydınlatmalı),2 Yıl,
688,LENOVO,41.635 TL,248 kişi,4.7,3.0,https://www.trendyol.com/lenovo/ideapad-gaming-3-15iah7-82s900twtx-intel-core-i7-12700h-16gb-512gb-rtx3060-15-6-dos-notebook-p-635228309,Intel Core i7,16 GB,512 GB,Free Dos,Lenovo Türkiye Garantili,Nvidia GeForce RTX3060,"15,6 inç",Oyun,Harici,6 GB,12700H,8,12. Nesil,Yok,HDMI,Q Türkçe,2 Yıl,
689,HP,44.999 TL,266 kişi,5.0,3.0,https://www.trendyol.com/hp/victus-gaming-laptop-16-s0047nt-amd-r7-7840hs-32gb-ddr5-1tb-8gb-rtx4060-16-1-144-hz-freedos-p-743602647,AMD Ryzen 7,32 GB,1 TB,Free Dos,HP Türkiye Garantili,Nvidia GeForce RTX 4060,"16,1 inç",Oyun,Harici,8 GB,7840HS,8,Ryzen 7000 Serisi,Yok,HDMI,Q Türkçe (Aydınlatmalı),2 Yıl,
690,MSI,"45.756,20 TL",,5.0,1.0,https://www.trendyol.com/msi/thin-gf63-12vf-405xtr-ar014-intel-core-i7-12650h-48gb-2tb-ssd-rtx4060-fdos-15-6-fhd-p-813753883,Intel Core i7,48 GB,2 TB,Free Dos,MSI Türkiye Garantili,Nvidia GeForce RTX 4060,"15,6 inç",Oyun,Harici,8 GB,12650H,10,12. Nesil,Yok,USB - Bluetooth - HDMI,Q Türkçe (Aydınlatmalı),2 Yıl,
691,ASUS,9.959 TL,1195 kişi,4.8,47.0,https://www.trendyol.com/asus/d515da-ej1423w-amd-ryzen-3-3250u-4gb-256gb-ssd-15-6-win-11-home-p-315305478,AMD Ryzen 3,4 GB,256 GB,Windows,Resmi Distribütör Garantili,AMD Graphics,"15,6 inç",Ev - Okul,Dahili,Paylaşımlı,3250U,2,Ryzen 3000 Serisi,Yok,Bluetooth,Q Türkçe,2 Yıl,
