Unnamed: 0,Ürün Markası,Ürün Fiyatı (TL),Ürün Favorisi,Ürün Puanı,Ürün Puan Sayısı,Ürün URL,İşlemci Tipi,Ram (GB),SSD Kapasitesi (GB),İşletim Sistemi,Garanti Tipi,Ekran Kartı,Ekran Boyutu (inch),Kullanım Amacı,Ekran Kartı Tipi,Ekran Kartı Hafızası (GB),İşlemci Modeli,İşlemci Çekirdek Sayısı,İşlemci Nesli,Dokunmatik Ekran,Klavye,Garanti Süresi (Yıl),Ürün Modeli,Aydınlatma Durumu,HDMI,İşlemci Performans Skoru,İşlemci Performans Kategorisi,Ekran Kartı Markası,Ekran Kartı Kategorisi,İşlemci Markası,Fiyat Aralığı,cluster,performance_level,Ürün Rating
683,HP,44999,266,5.0,3,https://www.trendyol.com/hp/victus-gaming-laptop-16-s0047nt-amd-r7-7840hs-32gb-ddr5-1tb-8gb-rtx4060-16-1-144-hz-freedos-p-743602647,AMD Ryzen 7,32,1024,FreeDos,Resmi Distribütör Garantili,Nvidia GeForce RTX 4060,16.1,Oyun,1,8,7840HS,8,Ryzen 7000 Serisi,0,Q Türkçe,2,Victus,1,1,6.4,3,Nvidia,4,AMD,"(40000, 60000]",1,Yüksek Performans,10.0347714987715
684,MSI,45756,0,5.0,1,https://www.trendyol.com/msi/thin-gf63-12vf-405xtr-ar014-intel-core-i7-12650h-48gb-2tb-ssd-rtx4060-fdos-15-6-fhd-p-813753883,Intel Core i7,48,2048,FreeDos,Resmi Distribütör Garantili,Nvidia GeForce RTX 4060,15.6,Oyun,1,8,12650H,10,12. Nesil,0,Q Türkçe,2,Thin,1,1,6.800000000000001,3,Nvidia,4,Intel,"(40000, 60000]",1,Yüksek Performans,10.004914004914005
685,ASUS,9959,1195,4.8,47,https://www.trendyol.com/asus/d515da-ej1423w-amd-ryzen-3-3250u-4gb-256gb-ssd-15-6-win-11-home-p-315305478,AMD Ryzen 3,4,256,Windows,Resmi Distribütör Garantili,AMD Graphics,15.6,Ev - Okul,0,0,3250U,2,Ryzen 3000 Serisi,0,Q Türkçe,2,D515,0,0,3.6,2,AMD,2,AMD,"(0, 20000]",0,Düşük Performans,9.85835327076906
686,LENOVO,28749,0,5.0,1,https://www.trendyol.com/lenovo/ideapad-gaming3-intel-core-i5-12450h-12gb-ram-512gb-ssd-rtx3050ti-120hz-15-6-windows-11-p-811333038,Intel Core i5,12,512,Windows,Resmi Distribütör Garantili,Nvidia GeForce RTX 3050 Ti,15.6,Oyun,1,4,12450H,8,12. Nesil,0,Q Türkçe,2,Ideapad,1,1,6.4,3,Nvidia,3,Intel,"(20000, 40000]",3,Orta Performans,10.004914004914005
687,LENOVO,31195,164,5.0,2,https://www.trendyol.com/lenovo/ideapad-gaming-3-intel-core-i5-12450h-16gb-512gb-ssd-rtx3050-freedos-15-6-ips-tasinabilir-bi-p-784770988,Intel Core i5,16,512,FreeDos,Resmi Distribütör Garantili,Nvidia GeForce RTX 3050,15.6,Oyun,1,4,12450H,8,12. Nesil,0,Q Türkçe,2,Ideapad,1,1,6.4,3,Nvidia,3,Intel,"(20000, 40000]",3,Orta Performans,10.022170955644638
688,ASUS,15999,0,5.0,2,https://www.trendyol.com/asus/expertbook-b1502cba-bq0787-i5-1235u-16-gb-512-gb-ssd-15-6-dos-fhd-dizustu-bilgisayar-p-793073345,Intel Core i5,16,512,FreeDos,Resmi Distribütör Garantili,AMD Graphics,15.6,Ofis - İş,0,0,1235U,6,9. Nesil,0,Q Türkçe,2,Expertbook,0,1,4.800000000000001,2,AMD,2,Intel,"(0, 20000]",0,Düşük Performans,10.00982800982801
689,ACER,28899,121,4.3,3,https://www.trendyol.com/acer/nitro-5-intel-core-i5-12500h-8gb-1tb-ssd-rtx-4050-6gb-15-6-144hz-dos-acer-turkiye-garantili-p-778155058,Intel Core i5,8,1024,FreeDos,Resmi Distribütör Garantili,Nvidia GeForce RTX 4050,15.6,Oyun,1,6,12500H,12,12. Nesil,0,Q Türkçe,2,Nitro,1,1,7.200000000000001,4,Nvidia,5,Intel,"(20000, 40000]",3,Orta Performans,8.445096296576823
690,MSI,44400,197,4.3,6,https://www.trendyol.com/msi/bravo-17-d7vf-069xtr-r7-7735hs-16gb-ddr5-rtx4060-gddr6-8gb-1tb-ssd-17-3-fhd-144hz-dos-p-786660961,AMD Ryzen 7,16,1024,FreeDos,Resmi Distribütör Garantili,Nvidia GeForce RTX 4060,17.3,Oyun,1,8,7735HS,8,Ryzen 7000 Serisi,0,Q Türkçe,2,Bravo,0,0,6.4,3,Nvidia,4,AMD,"(40000, 60000]",1,Yüksek Performans,8.462356223698068
691,Apple,49000,274,4.8,4,https://www.trendyol.com/apple/macbook-air-m2-16-gb-ram-256-gb-ssd-gece-yarisi-p-354498014,Apple M2,16,256,Mac Os,Resmi Distribütör Garantili,M2 8-Çekirdekli GPU,13.6,Ofis - İş,0,0,M2,8,M serisi,0,Q Türkçe,2,Macbook,1,0,8.0,4,Apple,5,Apple,"(40000, 60000]",1,Yüksek Performans,9.588484606971976
692,HP,16590,713,4.8,10,https://www.trendyol.com/hp/250-g8-i5-1135g7-16gb-512gb-ssd-windows-11-pro-15-6-fhd-tasinabilir-bilgisayar-853u7es8-p-767717595,Intel Core i5,16,512,Windows,Resmi Distribütör Garantili,Intel Graphics,15.6,Ofis - İş,0,0,1135G7,4,11. Nesil,0,Q Türkçe,2,250,0,1,5.2,3,Intel,1,Intel,"(0, 20000]",0,Düşük Performans,9.648376943895363
693,Dell,16306,0,5.0,1,https://www.trendyol.com/dell/vostro-3520-intel-core-i5-1235u-16gb-512-gb-ssd-120hz-15-6-windows-10-pro-n1605pvnb3520t31-p-796126162,Intel Core i5,16,512,Windows,Resmi Distribütör Garantili,Intel Graphics,15.6,Ofis - İş,0,0,1235U,6,12. Nesil,0,Q Türkçe,2,Vostro,0,1,6.000000000000001,3,Intel,1,Intel,"(0, 20000]",0,Düşük Performans,10.004914004914005
694,MONSTER,36570,113,5.0,3,https://www.trendyol.com/monster/abra-a5-v20-2-5-intel-core-i5-13500h-32-gb-ram-1-tb-ssd-6-gb-rtx-4050-windows-11-15-6-fhd-144-hz-p-736990581,Intel Core i5,32,1024,Windows,Resmi Distribütör Garantili,Nvidia GeForce RTX 4050,15.6,Oyun,1,6,13500H,12,13. Nesil,0,Q Türkçe,2,Abra,1,1,6.800000000000001,3,Nvidia,5,Intel,"(20000, 40000]",3,Orta Performans,10.023250780513939
695,MONSTER,25499,133,4.6,5,https://www.trendyol.com/monster/huma-h5-v4-1-1-intel-core-i5-1235u-16gb-ram-1tb-ssd-windows-11-15-6-fhd-p-458195384,Intel Core i5,16,1024,Windows,Resmi Distribütör Garantili,Intel Graphics,15.6,Ofis - İş,0,0,1235U,6,12. Nesil,0,Q Türkçe,2,Huma,1,1,6.000000000000001,3,Intel,1,Intel,"(20000, 40000]",3,Orta Performans,9.13148108108108
696,ASUS,25999,0,5.0,1,https://www.trendyol.com/asus/tuf-gaming-a15-amd-r5-7535hs-24gb-ddr5-ram-512gb-ssd-rtx2050-144hz-15-6-freedos-cimete-canta-p-837996678,AMD Ryzen 5,24,512,FreeDos,Resmi Distribütör Garantili,Nvidia GeForce RTX 2050,15.6,Oyun,1,4,7535HS,6,Ryzen 7000 Serisi,0,Q Türkçe,2,Tuf,1,1,6.000000000000001,3,Nvidia,2,AMD,"(20000, 40000]",3,Orta Performans,10.004914004914005
697,MONSTER,34599,705,4.6,11,https://www.trendyol.com/monster/abra-a5-v20-3-4-intel-core-i7-13700h-16-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-15-6-fhd-144-hz-p-736036351,Intel Core i7,16,1024,FreeDos,Resmi Distribütör Garantili,Nvidia GeForce RTX 4050,15.6,Oyun,1,6,13700H,14,13. Nesil,0,Q Türkçe,2,Abra,1,1,8.0,4,Nvidia,5,Intel,"(20000, 40000]",3,Orta Performans,9.197686770981507
698,ASUS,11899,231,4.9,7,https://www.trendyol.com/asus/x515ea-bq967w05-i3-1115g4-12gb-512ssd-15-6-fullhd-w11h-tasinabilir-bilgisayar-p-445383041,Intel Core i3,12,512,Windows,Resmi Distribütör Garantili,Intel Graphics,15.6,Ofis - İş,0,0,1115G4,2,11. Nesil,0,Q Türkçe,2,X515,0,0,4.800000000000001,2,Intel,1,Intel,"(0, 20000]",0,Düşük Performans,9.825660109918534
699,Game Garaj,52224,0,5.0,2,https://www.trendyol.com/game-garaj/slayer3-7xl-4060-c2-i7-13700h-32gb-1tb-ssd-rtx4060-17-3-fhd-ips-144hz-dos-p-665158539,Intel Core i7,32,1024,FreeDos,Resmi Distribütör Garantili,Nvidia GeForce RTX 4060,17.3,Oyun,1,8,13700H,14,13. Nesil,0,Q Türkçe,2,Slayer3,0,1,8.0,4,Nvidia,4,Intel,"(40000, 60000]",1,Yüksek Performans,10.00982800982801
700,HP,31500,618,4.7,12,https://www.trendyol.com/hp/victus-15-fa1025nt-core-i5-13500h-16gb-512gb-ssd-6gb-rtx-4050-15-6-w11-mika-gumus-7n9t3ea-p-773620973,Intel Core i5,16,512,Windows,Resmi Distribütör Garantili,Nvidia GeForce RTX 4050,15.6,Oyun,1,6,13500H,12,13. Nesil,0,Q Türkçe,2,Victus,0,0,6.800000000000001,3,Nvidia,5,Intel,"(20000, 40000]",3,Orta Performans,9.423572921061869
701,ACER,13299,200,5.0,5,https://www.trendyol.com/acer/aspire-3-a315-58-50ee-intel-i5-1135g-8gb-ram-256ssd-iris-xe-graphics-15-6-fhd-w11-gumus-noteb-p-772493006,Intel Core i5,8,256,Windows,Resmi Distribütör Garantili,Intel Graphics,15.6,Ev - Okul,0,0,1135G7,4,11. Nesil,0,Q Türkçe,2,Aspire,0,0,5.2,3,Intel,1,Intel,"(0, 20000]",0,Düşük Performans,10.039644565960357
702,MONSTER,43299,0,5.0,1,https://www.trendyol.com/monster/tulpar-t5-v23-4-5-intel-core-i7-12700h-32-gb-ram-1-tb-ssd-8-gb-rtx-4060-windows-11-15-6-fhd-144-hz-p-820110595,Intel Core i7,32,1024,Windows,Resmi Distribütör Garantili,Nvidia GeForce RTX 4060,15.6,Oyun,1,8,12700H,14,12. Nesil,0,Q Türkçe,2,Tulpar,1,1,7.600000000000001,4,Nvidia,4,Intel,"(40000, 60000]",3,Orta Performans,10.004914004914005
703,ASUS,25499,0,4.0,1,https://www.trendyol.com/asus/tuf-gaming-f15-fx506hf-i5-11400h-16gb-512gb-ssd-rtx2050-4gb-144hz-15-6-fhd-fdos-hn030-p-683449448,Intel Core i5,16,512,FreeDos,Resmi Distribütör Garantili,Nvidia GeForce RTX 2050,15.6,Oyun,1,4,11400H,6,11. Nesil,0,Q Türkçe,2,Tuf,0,0,5.6000000000000005,3,Nvidia,2,Intel,"(20000, 40000]",3,Orta Performans,7.7538083538083535
704,HP,16999,0,3.0,1,https://www.trendyol.com/hp/255-g8-ryzen-5-5500-16gb-256gb-ssd-15-6-w11pro-tasinabilir-bilgisayar-7n4w6aa-p-658748294,AMD Ryzen 5,16,256,Windows,Resmi Distribütör Garantili,AMD Graphics,15.6,Ofis - İş,0,0,5500U,6,Ryzen 5000 Serisi,0,Q Türkçe,2,255,0,1,5.2,3,AMD,2,AMD,"(0, 20000]",0,Düşük Performans,5.5027027027027025
705,ASUS,37999,246,3.0,2,https://www.trendyol.com/asus/tuf-gaming-a15-r7-7735hs-16gb-1tb-ssd-rtx4050-6gb-15-6-144hz-fhd-fdos-fa507nu-lp052-p-690586239,AMD Ryzen 7,16,1024,FreeDos,Resmi Distribütör Garantili,Nvidia GeForce RTX 4050,15.6,Oyun,1,6,7735HS,8,Ryzen 7000 Serisi,0,Q Türkçe,2,Tuf,0,0,6.4,3,Nvidia,5,AMD,"(20000, 40000]",3,Orta Performans,5.515588335704126
